"Falaferia";"2013-01-01 00:12:33";"162500"
"CencoSux";"2013-01-01 00:18:33";"56000"
"Replay";"2013-01-01 00:19:57";"565500"
"Falaferia";"2013-01-01 00:49:02";"700000"
"Replay";"2013-01-01 00:57:53";"743500"
"Replay";"2013-01-01 01:01:05";"646500"
"Replay";"2013-01-01 01:03:46";"373000"
"Porahi";"2013-01-01 01:06:45";"52500"
"CencoSux";"2013-01-01 01:16:44";"83500"
"Replay";"2013-01-01 01:39:52";"304500"
"Porahi";"2013-01-01 01:48:16";"513500"
"Replay";"2013-01-01 01:49:05";"304000"
"Porahi";"2013-01-01 01:56:56";"607500"
"Replay";"2013-01-01 02:03:48";"471000"
"CencoSux";"2013-01-01 02:04:38";"295000"
"Falaferia";"2013-01-01 02:05:43";"332500"
"Falaferia";"2013-01-01 02:26:27";"560000"
"CencoSux";"2013-01-01 02:32:19";"36000"
"Replay";"2013-01-01 02:40:34";"687000"
"Falaferia";"2013-01-01 02:54:19";"358500"
"Falaferia";"2013-01-01 03:08:17";"648500"
"Falaferia";"2013-01-01 03:10:46";"623500"
"Falaferia";"2013-01-01 03:17:37";"585000"
"Replay";"2013-01-01 03:19:21";"640500"
"Falaferia";"2013-01-01 03:26:47";"119000"
"Falaferia";"2013-01-01 03:35:50";"157000"
"Falaferia";"2013-01-01 03:42:49";"637000"
"Falaferia";"2013-01-01 03:48:12";"576000"
"Falaferia";"2013-01-01 03:51:26";"738500"
"CencoSux";"2013-01-01 03:56:10";"403000"
"Porahi";"2013-01-01 04:08:35";"445500"
"Porahi";"2013-01-01 04:14:25";"85500"
"Replay";"2013-01-01 04:14:59";"36500"
"Replay";"2013-01-01 04:18:03";"487500"
"Falaferia";"2013-01-01 04:20:46";"549500"
"Porahi";"2013-01-01 04:28:38";"736500"
"CencoSux";"2013-01-01 04:32:54";"529000"
"Porahi";"2013-01-01 04:33:49";"277500"
"Replay";"2013-01-01 04:41:46";"749500"
"Replay";"2013-01-01 04:43:18";"293500"
"Falaferia";"2013-01-01 04:47:10";"452000"
"Replay";"2013-01-01 04:48:23";"683000"
"CencoSux";"2013-01-01 05:05:10";"425000"
"CencoSux";"2013-01-01 05:15:01";"739000"
"Porahi";"2013-01-01 05:16:13";"607500"
"Porahi";"2013-01-01 05:29:09";"482000"
"Falaferia";"2013-01-01 05:31:20";"304000"
"Porahi";"2013-01-01 05:39:01";"429000"
"Replay";"2013-01-01 05:40:57";"540000"
"CencoSux";"2013-01-01 05:43:47";"51500"
"Falaferia";"2013-01-01 05:43:56";"371500"
"Falaferia";"2013-01-01 05:49:05";"275500"
"Porahi";"2013-01-01 05:55:03";"148500"
